date,time,location,all_aboard,total_fatalities,cause
03/25/1937,1840,USA,13,13,Sin Dato
03/26/1937,-1,Germany,6,0,Engine Failures
05/06/1937,1925,USA,97,35,Cargo Hold / Cabin / Cockpit Fires
05/20/1937,-1,Germany,4,4,Engine Failures
06/02/1937,-1,Lagos,9,9,Sin Dato
06/20/1937,-1,Dato,6,6,Sin Dato
07/02/1937,-1,Guinea,2,2,Weather
07/28/1937,1040,Belgium,15,15,Weather
08/02/1937,-1,Sudan,9,9,Sin Dato
08/02/1937,1938,Panama,14,14,Cargo Hold / Cabin / Cockpit Fires
08/06/1937,-1,Romania,5,5,Cargo Hold / Cabin / Cockpit Fires
08/08/1937,1050,China,11,3,Sin Dato
08/10/1937,440,USA,9,4,Sin Dato
08/23/1937,-1,Argentina,3,3,Weather
08/27/1937,-1,Guinea,1,1,Weather
10/01/1937,-1,Greece,14,2,Weather
10/06/1937,1225,Indies,11,4,Engine Failures
10/17/1937,2100,USA,19,19,Weather
10/27/1937,423,Africa,7,7,Sin Dato
11/11/1937,-1,Poland,11,4,Weather
11/12/1937,1650,Germany,12,10,Weather
11/12/1937,-1,Poland,11,4,Weather
11/16/1937,1530,Belgium,11,11,Weather
11/26/1937,-1,Kingdom,3,3,Engine Failures
12/04/1937,-1,Germany,17,4,Weather
12/05/1937,900,Italy,19,2,Sin Dato
12/05/1937,-1,Italy,8,2,Engine Failures
12/08/1937,-1,France,7,2,Sin Dato
12/24/1937,1730,Czechoslovakia,3,3,Sin Dato
01/04/1938,-1,Germany,6,6,Sin Dato
01/10/1938,1507,USA,10,10,Weather
01/11/1938,803,Samoa,7,7,Fuel Starvation
01/12/1938,-1,Canada,1,1,Sin Dato
02/02/1938,2040,USA,14,11,Sin Dato
02/05/1938,-1,Russia,19,13,Sin Dato
02/09/1938,-1,Mexico,2,2,Sin Dato
02/09/1938,730,France,12,8,Weather
02/13/1938,1430,Sea,14,14,Weather
02/22/1938,445,France,3,3,Weather
03/01/1938,2130,USA,9,9,Sin Dato
03/07/1938,-1,India,7,7,Cargo Hold / Cabin / Cockpit Fires
03/08/1938,-1,Australia,1,1,Sin Dato
03/23/1938,700,France,8,8,Sin Dato
04/30/1938,1400,Italy,19,19,Sin Dato
05/05/1938,-1,Mexico,6,1,Engine Failures
05/10/1938,-1,Zealand,2,2,Cargo Hold / Cabin / Cockpit Fires
05/16/1938,1407,USA,9,9,Cargo Hold / Cabin / Cockpit Fires
05/22/1938,1340,Brazil,17,6,Engine Failures
05/24/1938,2217,USA,10,10,Cargo Hold / Cabin / Cockpit Fires
05/27/1938,-1,Canada,1,1,Sin Dato
05/27/1938,-1,Germany,3,3,Sin Dato
06/08/1938,-1,Tanzania,3,3,Sin Dato
06/19/1938,-1,Chile,4,4,Sin Dato
07/08/1938,256,USA,10,1,Engine Failures
07/14/1938,800,Italy,20,20,Sin Dato
07/19/1938,-1,Andes,4,4,Sin Dato
07/22/1938,1740,Romania,14,14,Weather
07/27/1938,-1,Kenya,4,4,Sin Dato
07/29/1938,411,Guam,15,15,Sabotage / Hijacking
08/10/1938,-1,Hungary,12,12,Weather
08/10/1938,-1,Japan,6,6,Sin Dato
08/12/1938,1230,Mexico,11,11,Sin Dato
08/13/1938,1100,Germany,17,16,Sin Dato
08/15/1938,-1,Brazil,9,9,Sin Dato
08/18/1938,-1,Romania,7,0,Cargo Hold / Cabin / Cockpit Fires
08/18/1938,1700,Italy,15,15,Sin Dato
08/24/1938,800,China,17,14,Shot Down
08/24/1938,-1,Japan,5,5,Sin Dato
08/29/1938,2300,Mexico,11,0,Weather
08/29/1938,930,Australia,9,5,Sin Dato
10/01/1938,-1,Gambia,4,4,Sin Dato
10/01/1938,-1,Switzerland,13,13,Sin Dato
10/10/1938,1100,Germany,20,20,Engine Failures
10/25/1938,1345,Australia,18,18,Weather
11/02/1938,-1,UK,2,2,Sin Dato
11/04/1938,1050,USA,14,14,Cargo Hold / Cabin / Cockpit Fires
11/14/1938,1841,Amsterdam,19,6,Weather
11/18/1938,51,Canada,2,2,Sin Dato
11/26/1938,1520,Gambia,15,12,Cargo Hold / Cabin / Cockpit Fires
11/27/1938,-1,Iraq,6,4,Weather
11/29/1938,530,USA,7,5,Fuel Starvation
